timestamp,product_id,inventory_level,demand,competitor_price,price_sold
2024-04-12,p-048,49,0.56,92.45,88.97
2024-01-22,p-030,142,0.11,65.8,52.05
2024-02-12,p-009,9,0.63,35.22,35.81
2024-01-04,p-013,63,0.02,37.12,31.44
2024-03-24,p-048,12,0.73,24.06,24.86
2024-02-01,p-010,193,0.48,89.34,71.81
2024-04-27,p-005,156,1.0,39.49,36.66
2024-03-17,p-002,19,0.67,14.14,14.34
2024-03-29,p-014,129,0.51,91.87,80.18
2024-04-05,p-006,38,0.05,96.75,84.7
2024-03-07,p-040,69,0.29,94.32,84.12
2024-02-16,p-008,41,0.5,19.14,18.36
2024-01-05,p-004,31,0.9,88.71,92.84
2024-03-27,p-029,113,0.41,35.8,31.18
2024-02-26,p-042,177,0.38,69.95,56.19
2024-01-20,p-047,58,0.77,37.89,37.62
2024-03-29,p-042,18,0.74,31.63,32.55
2024-04-27,p-004,21,0.46,29.38,28.53
2024-01-13,p-041,38,0.03,81.39,70.94
2024-04-14,p-008,143,0.51,98.88,84.91
2024-01-01,p-022,10,0.51,94.53,93.77
2024-04-16,p-038,166,0.03,47.21,35.67
2024-01-04,p-037,81,0.85,63.25,62.2
2024-03-04,p-048,10,0.33,27.14,25.96
2024-04-26,p-020,125,0.28,32.65,27.31
2024-01-26,p-049,131,0.11,13.67,10.95
2024-01-15,p-014,45,1.0,73.43,77.14
2024-01-03,p-019,11,0.11,87.78,80.04
2024-03-17,p-028,138,0.8,84.97,77.64
2024-04-27,p-010,111,0.33,96.2,82.61
2024-01-25,p-028,59,0.34,46.31,42.18
2024-04-15,p-015,6,0.23,49.61,46.65
2024-02-01,p-040,136,0.0,16.4,12.75
2024-04-29,p-028,136,0.61,38.63,34.11
2024-03-03,p-001,167,0.69,45.21,39.09
2024-04-23,p-017,46,0.57,58.19,56.29
2024-01-01,p-000,96,0.25,39.75,34.14
2024-03-19,p-007,6,0.87,29.18,31.15
2024-02-25,p-011,198,0.22,67.88,51.39
2024-03-12,p-038,192,0.32,23.05,17.95
2024-02-15,p-009,19,0.56,72.73,72.2
2024-01-21,p-047,159,0.43,46.85,38.85
2024-03-13,p-028,73,0.81,45.66,44.95
2024-02-26,p-030,114,0.85,92.24,87.45
2024-03-02,p-003,77,0.41,95.83,86.86
2024-01-27,p-014,176,0.65,30.3,25.72
2024-02-10,p-031,90,0.45,35.16,31.68
2024-03-07,p-041,160,0.74,22.37,19.69
2024-03-15,p-032,91,0.86,47.72,46.5
2024-04-16,p-047,198,0.66,85.47,70.74
2024-04-22,p-027,61,0.75,83.73,82.55
2024-01-13,p-041,29,0.19,86.51,78.79
2024-01-20,p-008,168,0.35,70.36,56.78
2024-01-18,p-018,139,0.03,58.66,45.76
2024-04-17,p-023,7,0.18,33.94,31.55
2024-03-03,p-001,143,0.03,70.09,54.42
2024-03-22,p-035,83,0.76,91.28,88.06
2024-04-19,p-016,87,0.69,75.26,71.32
2024-04-13,p-034,61,0.2,79.84,70.47
2024-01-11,p-002,175,0.3,55.16,43.69
2024-03-27,p-046,165,0.84,87.35,77.9
2024-02-23,p-032,64,0.54,41.45,39.11
2024-02-15,p-028,116,0.56,36.61,32.75
2024-02-04,p-019,151,0.42,15.56,13.0
2024-02-06,p-020,11,0.24,95.54,89.58
2024-01-26,p-016,180,0.27,18.76,14.68
2024-04-11,p-008,8,0.45,42.16,41.4
2024-02-26,p-009,4,0.48,56.11,55.66
2024-01-18,p-043,3,0.88,68.63,73.62
2024-03-11,p-002,127,0.0,42.41,33.32
2024-02-28,p-006,64,0.8,67.71,67.18
